"coalition_id","election_year","cabinet_period","source_periods","coalition_parties","electoral_unit","v_Cd","V_d","s_Cd","S_d","within_district_quota","national_quota_contribution","a_Cd","b_Cd","b_Cd_factored","b_crosscheck_residual"
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","AC",206024,399201,5,8,4.128727132447063,1.0856137609031753,0.871272867552937,3.0431133715438876,3.0431133715438876,0.0
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","AL",462101,1384584,4,9,3.0037245844239138,2.4349745880437146,0.9962754155760863,0.5687499963801991,0.5687499963801991,0.0
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","AM",883732,1658407,4,8,4.263040375492867,4.656698346554212,-0.2630403754928676,-0.39365797106134454,-0.39365797106134454,0.0
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","AP",177840,386084,5,8,3.6850011914505654,0.9371022368220242,1.3149988085494348,2.747898954628541,2.747898954628541,0.0
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","BA",3372656,6646541,20,39,19.789779977284425,17.771724480607404,0.2102200227155749,2.0180554966770208,2.0180554966770208,0.0
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","CE",2043455,4367020,12,22,10.294436480712248,10.767691471801335,1.7055635192877523,-0.4732549910890874,-0.4732549910890874,0.0
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","DF",546474,1454063,4,8,3.006604253048183,2.8795659455976095,0.9933957469518171,0.12703830745057357,0.12703830745057357,0.0
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","ES",662777,1794470,4,10,3.6934415175511432,3.492407834087892,0.30655848244885675,0.20103368346325115,0.20103368346325115,0.0
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","GO",1416853,3032760,8,17,7.94210587056015,7.4659025840530555,0.05789412943985017,0.47620328650709404,0.47620328650709404,0.0
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","MA",1431399,3130492,7,18,8.230393816690794,7.5425506336302774,-1.2303938166907948,0.6878431830605172,0.6878431830605172,0.0
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","MG",4477684,10118666,26,53,23.4534129301234,23.594510189958324,2.5465870698766024,-0.14109725983492757,-0.14109725983492757,0.0
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","MS",825708,1276893,5,8,5.173232212879231,4.350949245174538,-0.17323221287923107,0.8222829677046924,0.8222829677046924,0.0
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","MT",604679,1454612,2,8,3.3255823546072767,3.186268800378457,-1.3255823546072767,0.13931355422881989,0.13931355422881989,0.0
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","PA",1908838,3756049,10,17,8.639462903705462,10.058346601050827,1.3605370962945371,-1.4188836973453638,-1.4188836973453638,0.0
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","PB",977061,1936819,8,12,6.0536023242233785,5.148482054720894,1.9463976757766213,0.9051202695024847,0.9051202695024847,0.0
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","PE",1739512,4483227,10,25,9.70011110300683,9.166107659574633,0.29988889699317034,0.5340034434321955,0.5340034434321955,0.0
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","PI",1143169,1733434,6,10,6.594822762216502,6.023764209208258,-0.594822762216502,0.5710585530082443,0.5710585530082443,0.0
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","PR",2410723,5665222,13,30,12.765905731496488,12.70295724054375,0.23409426850351142,0.0629484909527379,0.0629484909527379,0.0
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","RJ",4050400,7673438,29,46,24.28095463858573,21.342998763067513,4.719045361414271,2.9379558755182145,2.9379558755182145,0.0
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","RN",768858,1580871,3,8,3.8908070297956,4.051386367512977,-0.8908070297956,-0.16057933771737723,-0.16057933771737723,0.0
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","RO",550050,798475,6,8,5.511005353955978,2.8984091619655556,0.48899464604402143,2.612596191990423,2.612596191990423,0.0
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","RR",73580,238099,3,8,2.4722489384667723,0.38771920032256263,0.5277510615332278,2.0845297381442096,2.0845297381442096,0.0
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","RS",3758463,5942063,20,31,19.60806423627619,19.804678836666753,0.39193576372381106,-0.19661460039056491,-0.19661460039056491,0.0
